DA10102	VI SORBITS
DA10105	PETBITS TABLETS
DA10301	VETZYME TABLETS
DA10303	VETZYM B+E TABLETS - 100
DA10304	VETZYME B+E TABLETS - 200
DA10401	STRESS TABS (UNICAL)
DA10501	DRONTAL PLUS TABLET 2'S
DA10511	NICLO-LEVA 2'S
DA20101	ORCALMIN SUSPENSION.
DA40303	STRESSTABS POWDER
DA60208	TOP DOG SHAMPOO
DA60212	FURGARD SHAMPOO
DA60218	PETMA SHAMPOO (PETDOG)
DA60220	SCOO TEAR FREE SHAMPOO
DA60706	PETMA TICK LOTION (PETDOG)
DA60707	TICKAMIT 12.5
DA92810	ASUNTOL MEDICATED SOAP
DA92811	TOP DOG SOAP
DA92814	FURGARD MEDICATED SOAP
DAE0002	KAWU CALCIUM-PHOSPHORUS
DAE0005	NUTRI-COAT
DAE0006	NUTRI-COAT ADVANCE
DAE0007	P/VET PET CARE SHAMPOO
DAE0008	P/VET FLEA TICK GUARD SHAMPOO
DAE0009	P/VET FLEA TICK GUARD SPRAY
DAE0010	P/VET SKIN GUARD POWDER
DAE0011	P/VET FLEA TICK GUARD POWDER
DAE0012	P/VET MANGE GUARD LOTION
DAE0013	P/VET FLEA TICK GUARD SOAP
DAE0014	P/VET PET CARE SOAP
DAE0015	P/VET SKIN GUARD CREAM
DAE0017	LIMPO A/B & A/F SOAP
DAE0018	LIMPO F & T CONTROL SHAMPOO
DAE0019	LIMPO A/B & A/F SHAMPOO
DAE0020	LIMPO CONDITIONING SHAMPOO
DAE0021	CANNY B&E TABLET 60S
DAE0022	CANNY B&E TABLET 60S
DAE0023	CANNY VIT TABLET 60S
DAE0024	CANNY CAP TABLET 60S
DAE0025	CANNY BOOST SUPPLEMENT 
DAE0026	NOWORM PLUS TABLET 2S 
DAE0027	PRAZIMEC-D TABLET 2S
DAE0028	REGEN WOUND HEALING POWDER 
DAE0029	ORONDO WOUND HEALING SRAY
DAE0030	GREENVET KENCAL SYRUP
DAE0031	GREENVET ACTI-PLUS SYRUP
DAE0032	GREENVET VITA PRO
DAE0033	GREENVET GUTCLEAR PLUS 2S
DAE0034	FRESH ME UP COAT CLEANSER
DAE0035	NOMOTICKS ANTI TICK & FLEA SPRAY
DAE0036	TOPICURE PET WOUND HEALING SPRAY
DAE0037	RELIFLAM ITCHING & REDNESS SPRAY
DAE0038	PETVIT LIQUID
DAE0039	ZIPYRAN PLUS TABLET 2'S
DC10301	AMIODAR 100MG
DC10501	HYDROCHLOROTHIAZIDE 50MG TABLET
DC10604	EZITA 10MG
DC10621	LIPITOR 10MG TABLET
DC10622	LIPITOR 20MG TABLET
DC10623	MIBE 10MG TABLET
DC10702	NATRILIX SR 1.5MG TABLET
DC10705	PRETEREX 2.5 /0.625MG TABLET
DC10706	PRETEREX 5.0 / 1.25MG TABLET
DC10707	LORVAS SR 1.5MG TABLET
DC10805	SIMVAS 10MG TABLET
DC10806	SIMVAS 20MG TABLET
DC10808	ATORVA 10MG TABLET
DC10810	AZTOR 10MG TABLET
DC10816	ASTAT 10MG TABLET
DC10818	VASOLIP 10MG TABLET
DC10821	ATOCOR 10MG TABLET
DC10824	VASOLIP 20MG TABLET
DC10827	ATORVA 20MG TABLET
DC10830	ATOVASTATIN 10MG-SPC TABLET
DC10831	ATOVASTATIN 20MG-SPC TABLET
DC10835	CRESTOR 10MG TABLET
DC10836	ATORVA 5MG TABLET
DC10837	ROSUVAS 5MG TABLET
DC10838	ROSUVAS 10MG TABLET
DC10839	CRESTOR 5MG TABLET
DC10844	ZYROVA-5 5MG TABLET
DC10845	ZYROVA 10MG TABLET
DC10846	ZYROVA 20MG TABLET
DC10857	ROSUVAS 20MG TABLET
DC10860	ATORVA 40 TABLET
DC10861	ROSUCOR 10MG TABLET
DC10863	ROVISTA 10MG TABLET
DC10864	ROVISTA 5MG TABLET
DC10865	ROVISTA 20MG TABLET
DC10870	X - PLENDED 5MG
DC10871	X - PLENDED 10MG
DC10872	X-PLENDED 20MG TABLET
DC10873	ROSUVASTATIN 5MG TABLET
DC10874	ROSUVASTATIN 10MG TABLET
DC10875	ROSUVASTATIN 20MG TABLET
DC10876	ROSULIP 10MG TABLET
DC10877	ROSULIP 20MG
DC10884	MODILIP 10MG TABLET
DC10885	MODILIP 20MG TABLET
DC10901	LASIX 40MG TABLET
DC10902	SPMC FRUSEMIDE 40MG TABLET
DC11301	ALDACTONE 25MG TABLET
DC11302	ALDACTONE 100MG TABLETS
DC11304	SPMC SPIRONOLACTONE 25MG TABLET
DC11306	POT. CHLO. ER 600MG TABLET
DC11601	MODURETIC TABLET
DC11701	SPMC VERAPAMIL 40MG TABLET
DC11802	CARDASE 2.5MG TABLETS
DC11803	CARDASE 5MG.TABLETS
DC11805	RAMIPRIL 2.5MG CAPSULE
DC12002	PROPRANOLOL 40MG TABLET
DC12007	NEBILOL 5MG TABLET
DC12601	TENOLOL 50MG TABLET
DC12903	NODON 5MG TABLET
DC13002	CARVIL 3.125MG TABLET
DC13007	CARVIL 12.5MG TABLET
DC13008	CARVIL 6.25MG TABLET
DC13101	NEBIVAS 5MG TABLET
DC13601	ALDOMET 250MG TABLET
DC13810	CAPTOPRIL 25MG TABLET
DC14011	ENVAS 5MG TABLET
DC14104	ENALAPRIL 10MG SPC TABLET
DC14105	ENALAPRIL 5MG SPC TABLET
DC14301	GLYCERYL TRINITRATE TABLET
DC15010	SOLOTRATE SR 60MG TABLET
DC15011	SOLOTRATE SR 30MG TABLET
DC15103	NICODIL 10MG TABLET
DC15104	RANCV 500MG TABLET
DC15213	ZEM XL 90MG CAPSULE
DC15214	ZEM XL 120MG CAPSULE
DC15602	NICARDIA RETARD 20MG
DC15603	NICARDIA RETARD 10MG TABLET
DC15606	NIFEDIPINE SR 20MG TABLET
DC15608	NICARDIA XL
DC15901	STUGERON TABLET
